FUND_CODE,FLOW_DATE,FLOW_TYPE,AMOUNT_CAD
CIF-ALT-LS-06,2025-02-21,REDEMPTION,6419814.46
CIF-ALT-LS-06,2025-04-14,SUBSCRIPTION,3369390.33
CIF-ALT-LS-06,2025-07-14,REDEMPTION,9402388.02
CIF-ALT-LS-06,2025-09-10,SUBSCRIPTION,6980311.91
CIF-ALT-LS-06,2025-12-08,SUBSCRIPTION,7737531.54
CIF-BAL-60-03,2025-02-13,SUBSCRIPTION,68694257.02
CIF-BAL-60-03,2025-03-21,REDEMPTION,86817439.8
CIF-BAL-60-03,2025-03-31,DISTRIBUTION,5169105.94
CIF-BAL-60-03,2025-06-30,DISTRIBUTION,7221856.28
CIF-BAL-60-03,2025-07-15,SUBSCRIPTION,76114896.37
CIF-BAL-60-03,2025-09-30,DISTRIBUTION,5989716.23
CIF-BAL-60-03,2025-10-21,REDEMPTION,34263499.21
CIF-BAL-60-03,2025-11-13,REDEMPTION,62485197.49
CIF-BAL-60-03,2025-12-31,DISTRIBUTION,5178632.95
CIF-CAD-EQ-01,2025-01-13,REDEMPTION,40349552.07
CIF-CAD-EQ-01,2025-03-18,REDEMPTION,35911419.29
CIF-CAD-EQ-01,2025-04-15,REDEMPTION,37377234.19
CIF-CAD-EQ-01,2025-06-13,SUBSCRIPTION,24625726.03
CIF-CAD-EQ-01,2025-09-09,SUBSCRIPTION,23846945.52
CIF-FIX-IN-04,2025-01-13,SUBSCRIPTION,25471141.97
CIF-FIX-IN-04,2025-02-17,REDEMPTION,26703968.91
CIF-FIX-IN-04,2025-03-31,DISTRIBUTION,6614561.97
CIF-FIX-IN-04,2025-04-11,REDEMPTION,58522026.75
CIF-FIX-IN-04,2025-06-30,DISTRIBUTION,3362475.17
CIF-FIX-IN-04,2025-09-30,DISTRIBUTION,3165077.6
CIF-FIX-IN-04,2025-11-21,SUBSCRIPTION,38917047.99
CIF-FIX-IN-04,2025-12-16,REDEMPTION,38931378.41
CIF-FIX-IN-04,2025-12-31,DISTRIBUTION,4508037.33
CIF-GLB-EQ-02,2025-03-13,SUBSCRIPTION,28188193.88
CIF-GLB-EQ-02,2025-06-11,REDEMPTION,12150033.56
CIF-GLB-EQ-02,2025-07-18,REDEMPTION,12191905.95
CIF-GLB-EQ-02,2025-08-15,SUBSCRIPTION,11663693.29
CIF-GLB-EQ-02,2025-10-15,SUBSCRIPTION,27377988.9
CIF-USD-EQ-05,2025-04-21,REDEMPTION,21457393.28
CIF-USD-EQ-05,2025-05-15,SUBSCRIPTION,13996822.1
CIF-USD-EQ-05,2025-06-12,REDEMPTION,37221263.37
CIF-USD-EQ-05,2025-09-17,SUBSCRIPTION,26131442.79
CIF-USD-EQ-05,2025-12-15,SUBSCRIPTION,24588986.29
