FUND_CODE,ACCRUAL_DATE,MGMT_FEE_ACCRUED,ADMIN_FEE_ACCRUED,OTHER_EXPENSE
CIF-CAD-EQ-01,2024-12-24,30282.74,3601.19,3283.61
CIF-CAD-EQ-01,2024-12-25,30158.03,3586.36,3887.66
CIF-CAD-EQ-01,2024-12-26,29944.4,3560.96,3722.45
CIF-CAD-EQ-01,2024-12-27,29926.61,3558.84,3025.1
CIF-CAD-EQ-01,2024-12-30,29868.99,3551.99,3106.88
CIF-CAD-EQ-01,2024-12-31,29781.98,3541.64,2906.5
CIF-CAD-EQ-01,2025-01-01,29717.08,3533.92,2936.98
CIF-CAD-EQ-01,2025-01-02,29701.49,3532.07,2917.2
CIF-CAD-EQ-01,2025-01-03,29686.35,3530.27,3661.44
CIF-CAD-EQ-01,2025-01-06,29656.77,3526.75,3458.89
CIF-CAD-EQ-01,2025-01-07,29617.96,3522.14,3285.54
CIF-CAD-EQ-01,2025-01-08,29508.79,3509.15,3229.05
CIF-CAD-EQ-01,2025-01-09,29554.6,3514.6,3375.76
CIF-CAD-EQ-01,2025-01-10,29343.96,3489.55,3328.6
CIF-CAD-EQ-01,2025-01-13,26272.83,3124.34,3176.21
CIF-CAD-EQ-01,2025-01-14,26323.74,3130.39,3234.85
CIF-CAD-EQ-01,2025-01-15,26429.76,3143.0,3296.22
CIF-CAD-EQ-01,2025-01-16,26519.09,3153.62,2699.09
CIF-CAD-EQ-01,2025-01-17,26480.2,3149.0,2675.3
CIF-CAD-EQ-01,2025-01-20,26440.22,3144.24,2533.76
CIF-CAD-EQ-01,2025-01-21,26455.28,3146.03,3413.29
CIF-CAD-EQ-01,2025-01-22,26334.08,3131.62,2843.62
CIF-CAD-EQ-01,2025-01-23,26456.37,3146.16,3077.26
CIF-CAD-EQ-01,2025-01-24,26432.92,3143.37,2761.03
CIF-CAD-EQ-01,2025-01-27,26460.74,3146.68,2895.06
CIF-CAD-EQ-01,2025-01-28,26456.34,3146.16,3295.39
CIF-CAD-EQ-01,2025-01-29,26468.52,3147.61,2832.99
CIF-CAD-EQ-01,2025-01-30,26331.6,3131.33,2946.77
CIF-CAD-EQ-01,2025-01-31,26279.13,3125.09,3143.42
CIF-CAD-EQ-01,2025-02-03,26165.05,3111.52,3081.99
CIF-CAD-EQ-01,2025-02-04,26283.9,3125.65,2840.34
CIF-CAD-EQ-01,2025-02-05,26339.84,3132.31,3155.97
CIF-CAD-EQ-01,2025-02-06,26371.1,3136.02,3138.4
CIF-CAD-EQ-01,2025-02-07,26418.12,3141.61,3267.16
CIF-CAD-EQ-01,2025-02-10,26397.02,3139.11,3312.62
CIF-CAD-EQ-01,2025-02-11,26477.0,3148.62,2793.72
CIF-CAD-EQ-01,2025-02-12,26531.64,3155.11,2868.92
CIF-CAD-EQ-01,2025-02-13,26576.26,3160.42,3270.89
CIF-CAD-EQ-01,2025-02-14,26617.16,3165.28,3043.19
CIF-CAD-EQ-01,2025-02-17,26645.36,3168.64,2836.35
CIF-CAD-EQ-01,2025-02-18,26578.58,3160.7,2591.52
CIF-CAD-EQ-01,2025-02-19,26593.74,3162.5,3195.84
CIF-CAD-EQ-01,2025-02-20,26693.93,3174.41,3367.35
CIF-CAD-EQ-01,2025-02-21,26765.38,3182.91,3237.57
CIF-CAD-EQ-01,2025-02-24,26931.63,3202.68,3157.82
CIF-CAD-EQ-01,2025-02-25,26958.8,3205.91,3371.66
CIF-CAD-EQ-01,2025-02-26,26993.23,3210.01,2916.47
CIF-CAD-EQ-01,2025-02-27,26947.9,3204.61,2690.97
CIF-CAD-EQ-01,2025-02-28,26947.58,3204.58,2765.69
CIF-CAD-EQ-01,2025-03-03,26902.42,3199.21,3420.98
CIF-CAD-EQ-01,2025-03-04,26877.97,3196.3,2588.6
CIF-CAD-EQ-01,2025-03-05,26928.32,3202.29,3330.0
CIF-CAD-EQ-01,2025-03-06,27101.33,3222.86,2998.53
CIF-CAD-EQ-01,2025-03-07,27033.85,3214.84,2645.34
CIF-CAD-EQ-01,2025-03-10,27104.83,3223.28,3113.51
CIF-CAD-EQ-01,2025-03-11,27043.01,3215.93,3221.48
CIF-CAD-EQ-01,2025-03-12,26859.76,3194.13,3376.09
CIF-CAD-EQ-01,2025-03-13,26822.56,3189.71,3058.69
CIF-CAD-EQ-01,2025-03-14,26892.79,3198.06,2591.17
CIF-CAD-EQ-01,2025-03-17,26848.4,3192.78,3352.66
CIF-CAD-EQ-01,2025-03-18,24185.43,2876.11,3006.28
CIF-CAD-EQ-01,2025-03-19,24202.08,2878.08,2422.31
CIF-CAD-EQ-01,2025-03-20,24229.41,2881.34,2777.1
CIF-CAD-EQ-01,2025-03-21,24176.85,2875.08,2494.28
CIF-CAD-EQ-01,2025-03-24,24328.99,2893.18,2716.38
CIF-CAD-EQ-01,2025-03-25,24429.55,2905.14,3018.09
CIF-CAD-EQ-01,2025-03-26,24409.71,2902.78,2561.7
CIF-CAD-EQ-01,2025-03-27,24578.56,2922.86,2877.67
CIF-CAD-EQ-01,2025-03-28,24510.74,2914.79,3070.77
CIF-CAD-EQ-01,2025-03-31,24564.57,2921.19,2480.39
CIF-CAD-EQ-01,2025-04-01,24601.43,2925.58,2819.51
CIF-CAD-EQ-01,2025-04-02,24524.05,2916.37,2453.86
CIF-CAD-EQ-01,2025-04-03,24460.12,2908.77,3087.45
CIF-CAD-EQ-01,2025-04-04,24491.02,2912.45,2471.11
CIF-CAD-EQ-01,2025-04-07,24574.98,2922.43,2362.77
CIF-CAD-EQ-01,2025-04-08,24731.0,2940.98,2496.25
CIF-CAD-EQ-01,2025-04-09,24728.87,2940.73,2652.0
