RATE_DATE,FROM_CURRENCY,TO_CURRENCY,RATE
2024-12-24,USD,CAD,1.344908
2024-12-25,USD,CAD,1.33704
2024-12-26,USD,CAD,1.34131
2024-12-27,USD,CAD,1.33569
2024-12-30,USD,CAD,1.337007
2024-12-31,USD,CAD,1.326696
2025-01-01,USD,CAD,1.325846
2025-01-02,USD,CAD,1.326393
2025-01-03,USD,CAD,1.331135
2025-01-06,USD,CAD,1.333462
2025-01-07,USD,CAD,1.335543
2025-01-08,USD,CAD,1.337104
2025-01-09,USD,CAD,1.340477
2025-01-10,USD,CAD,1.338581
2025-01-13,USD,CAD,1.340187
2025-01-14,USD,CAD,1.341487
2025-01-15,USD,CAD,1.342603
2025-01-16,USD,CAD,1.349354
2025-01-17,USD,CAD,1.346525
2025-01-20,USD,CAD,1.35012
2025-01-21,USD,CAD,1.343724
2025-01-22,USD,CAD,1.343462
2025-01-23,USD,CAD,1.345495
2025-01-24,USD,CAD,1.341141
2025-01-27,USD,CAD,1.345224
2025-01-28,USD,CAD,1.345152
2025-01-29,USD,CAD,1.346029
2025-01-30,USD,CAD,1.340671
2025-01-31,USD,CAD,1.33821
2025-02-03,USD,CAD,1.346835
2025-02-04,USD,CAD,1.343558
2025-02-05,USD,CAD,1.335874
2025-02-06,USD,CAD,1.343171
2025-02-07,USD,CAD,1.346297
2025-02-10,USD,CAD,1.35169
2025-02-11,USD,CAD,1.347211
2025-02-12,USD,CAD,1.343908
2025-02-13,USD,CAD,1.340644
2025-02-14,USD,CAD,1.341414
2025-02-17,USD,CAD,1.340249
2025-02-18,USD,CAD,1.342459
2025-02-19,USD,CAD,1.34604
2025-02-20,USD,CAD,1.347932
2025-02-21,USD,CAD,1.349208
2025-02-24,USD,CAD,1.3542
2025-02-25,USD,CAD,1.350565
2025-02-26,USD,CAD,1.348264
2025-02-27,USD,CAD,1.343742
2025-02-28,USD,CAD,1.338637
2025-03-03,USD,CAD,1.335697
2025-03-04,USD,CAD,1.337817
2025-03-05,USD,CAD,1.339067
2025-03-06,USD,CAD,1.34311
2025-03-07,USD,CAD,1.348722
2025-03-10,USD,CAD,1.354239
2025-03-11,USD,CAD,1.357637
2025-03-12,USD,CAD,1.362361
2025-03-13,USD,CAD,1.352728
2025-03-14,USD,CAD,1.35891
2025-03-17,USD,CAD,1.35423
2025-03-18,USD,CAD,1.355012
2025-03-19,USD,CAD,1.348852
2025-03-20,USD,CAD,1.351439
2025-03-21,USD,CAD,1.358423
2025-03-24,USD,CAD,1.355485
2025-03-25,USD,CAD,1.359445
2025-03-26,USD,CAD,1.362135
2025-03-27,USD,CAD,1.357184
2025-03-28,USD,CAD,1.364157
2025-03-31,USD,CAD,1.363671
2025-04-01,USD,CAD,1.362042
2025-04-02,USD,CAD,1.361996
2025-04-03,USD,CAD,1.36239
2025-04-04,USD,CAD,1.369591
2025-04-07,USD,CAD,1.372728
2025-04-08,USD,CAD,1.371278
2025-04-09,USD,CAD,1.372081
2025-04-10,USD,CAD,1.3718
2025-04-11,USD,CAD,1.369966
2025-04-14,USD,CAD,1.366196
2025-04-15,USD,CAD,1.370692
2025-04-16,USD,CAD,1.369544
2025-04-17,USD,CAD,1.365499
2025-04-18,USD,CAD,1.362839
2025-04-21,USD,CAD,1.358051
2025-04-22,USD,CAD,1.349056
2025-04-23,USD,CAD,1.341222
2025-04-24,USD,CAD,1.345487
2025-04-25,USD,CAD,1.349213
2025-04-28,USD,CAD,1.342811
2025-04-29,USD,CAD,1.344287
2025-04-30,USD,CAD,1.350304
2025-05-01,USD,CAD,1.344034
2025-05-02,USD,CAD,1.340841
2025-05-05,USD,CAD,1.340755
2025-05-06,USD,CAD,1.340269
2025-05-07,USD,CAD,1.339547
2025-05-08,USD,CAD,1.333044
2025-05-09,USD,CAD,1.339072
2025-05-12,USD,CAD,1.344691
2025-05-13,USD,CAD,1.345681
2025-05-14,USD,CAD,1.347972
2025-05-15,USD,CAD,1.344308
2025-05-16,USD,CAD,1.336888
2025-05-19,USD,CAD,1.340576
2025-05-20,USD,CAD,1.334829
2025-05-21,USD,CAD,1.330554
2025-05-22,USD,CAD,1.332767
2025-05-23,USD,CAD,1.330384
2025-05-26,USD,CAD,1.338825
2025-05-27,USD,CAD,1.341616
2025-05-28,USD,CAD,1.336999
2025-05-29,USD,CAD,1.337783
2025-05-30,USD,CAD,1.346316
