FUND_CODE,AS_OF_DATE,SECURITY_ID,QUANTITY
CIF-CAD-EQ-01,2024-12-24,10016,83495.023911
CIF-CAD-EQ-01,2024-12-24,10004,423075.702191
CIF-CAD-EQ-01,2024-12-24,10034,78111.252679
CIF-CAD-EQ-01,2024-12-24,10028,417450.68435
CIF-CAD-EQ-01,2024-12-24,10037,207960.658777
CIF-CAD-EQ-01,2024-12-24,10031,175494.133121
CIF-CAD-EQ-01,2024-12-24,10040,65722.139978
CIF-CAD-EQ-01,2024-12-24,10013,557996.23765
CIF-CAD-EQ-01,2024-12-24,10001,448281.554913
CIF-CAD-EQ-01,2024-12-24,10010,91402.368635
CIF-CAD-EQ-01,2024-12-24,10025,942744.911218
CIF-CAD-EQ-01,2024-12-24,10049,172282.460283
CIF-CAD-EQ-01,2024-12-24,10007,929610.003344
CIF-CAD-EQ-01,2024-12-24,10052,202900.064867
CIF-CAD-EQ-01,2024-12-24,10022,114844.368182
CIF-CAD-EQ-01,2024-12-24,10019,380853.05392
CIF-CAD-EQ-01,2024-12-24,10043,364200.666864
CIF-CAD-EQ-01,2024-12-24,10056,95386.403599
CIF-CAD-EQ-01,2024-12-24,10014,113692.926272
CIF-CAD-EQ-01,2024-12-25,10016,83495.023911
CIF-CAD-EQ-01,2024-12-25,10004,423075.702191
CIF-CAD-EQ-01,2024-12-25,10034,78111.252679
CIF-CAD-EQ-01,2024-12-25,10028,417450.68435
CIF-CAD-EQ-01,2024-12-25,10037,207960.658777
CIF-CAD-EQ-01,2024-12-25,10031,175494.133121
CIF-CAD-EQ-01,2024-12-25,10040,65722.139978
CIF-CAD-EQ-01,2024-12-25,10013,557996.23765
CIF-CAD-EQ-01,2024-12-25,10001,448281.554913
CIF-CAD-EQ-01,2024-12-25,10010,91402.368635
CIF-CAD-EQ-01,2024-12-25,10025,942744.911218
CIF-CAD-EQ-01,2024-12-25,10049,172282.460283
CIF-CAD-EQ-01,2024-12-25,10007,929610.003344
CIF-CAD-EQ-01,2024-12-25,10052,202900.064867
CIF-CAD-EQ-01,2024-12-25,10022,114844.368182
CIF-CAD-EQ-01,2024-12-25,10019,380853.05392
CIF-CAD-EQ-01,2024-12-25,10043,364200.666864
CIF-CAD-EQ-01,2024-12-25,10056,95386.403599
CIF-CAD-EQ-01,2024-12-25,10014,113692.926272
CIF-CAD-EQ-01,2024-12-26,10016,83495.023911
CIF-CAD-EQ-01,2024-12-26,10004,423075.702191
CIF-CAD-EQ-01,2024-12-26,10034,78111.252679
CIF-CAD-EQ-01,2024-12-26,10028,417450.68435
CIF-CAD-EQ-01,2024-12-26,10037,207960.658777
CIF-CAD-EQ-01,2024-12-26,10031,175494.133121
CIF-CAD-EQ-01,2024-12-26,10040,65722.139978
CIF-CAD-EQ-01,2024-12-26,10013,557996.23765
CIF-CAD-EQ-01,2024-12-26,10001,448281.554913
CIF-CAD-EQ-01,2024-12-26,10010,91402.368635
CIF-CAD-EQ-01,2024-12-26,10025,942744.911218
CIF-CAD-EQ-01,2024-12-26,10049,172282.460283
CIF-CAD-EQ-01,2024-12-26,10007,929610.003344
CIF-CAD-EQ-01,2024-12-26,10052,202900.064867
CIF-CAD-EQ-01,2024-12-26,10022,114844.368182
CIF-CAD-EQ-01,2024-12-26,10019,380853.05392
CIF-CAD-EQ-01,2024-12-26,10043,364200.666864
CIF-CAD-EQ-01,2024-12-26,10056,95386.403599
CIF-CAD-EQ-01,2024-12-26,10014,113692.926272
CIF-CAD-EQ-01,2024-12-27,10016,83495.023911
CIF-CAD-EQ-01,2024-12-27,10004,423075.702191
CIF-CAD-EQ-01,2024-12-27,10034,78111.252679
CIF-CAD-EQ-01,2024-12-27,10028,417450.68435
CIF-CAD-EQ-01,2024-12-27,10037,207960.658777
CIF-CAD-EQ-01,2024-12-27,10031,175494.133121
CIF-CAD-EQ-01,2024-12-27,10040,65722.139978
CIF-CAD-EQ-01,2024-12-27,10013,557996.23765
CIF-CAD-EQ-01,2024-12-27,10001,448281.554913
CIF-CAD-EQ-01,2024-12-27,10010,91402.368635
CIF-CAD-EQ-01,2024-12-27,10025,942744.911218
CIF-CAD-EQ-01,2024-12-27,10049,172282.460283
CIF-CAD-EQ-01,2024-12-27,10007,929610.003344
CIF-CAD-EQ-01,2024-12-27,10052,202900.064867
CIF-CAD-EQ-01,2024-12-27,10022,114844.368182
CIF-CAD-EQ-01,2024-12-27,10019,380853.05392
CIF-CAD-EQ-01,2024-12-27,10043,364200.666864
CIF-CAD-EQ-01,2024-12-27,10056,95386.403599
CIF-CAD-EQ-01,2024-12-27,10014,113692.926272
CIF-CAD-EQ-01,2024-12-30,10016,83495.023911
CIF-CAD-EQ-01,2024-12-30,10004,423075.702191
CIF-CAD-EQ-01,2024-12-30,10034,78111.252679
CIF-CAD-EQ-01,2024-12-30,10028,417450.68435
CIF-CAD-EQ-01,2024-12-30,10037,207960.658777
CIF-CAD-EQ-01,2024-12-30,10031,175494.133121
CIF-CAD-EQ-01,2024-12-30,10040,65722.139978
CIF-CAD-EQ-01,2024-12-30,10013,557996.23765
CIF-CAD-EQ-01,2024-12-30,10001,448281.554913
CIF-CAD-EQ-01,2024-12-30,10010,91402.368635
CIF-CAD-EQ-01,2024-12-30,10025,942744.911218
CIF-CAD-EQ-01,2024-12-30,10049,172282.460283
CIF-CAD-EQ-01,2024-12-30,10007,929610.003344
CIF-CAD-EQ-01,2024-12-30,10052,202900.064867
CIF-CAD-EQ-01,2024-12-30,10022,114844.368182
CIF-CAD-EQ-01,2024-12-30,10019,380853.05392
CIF-CAD-EQ-01,2024-12-30,10043,364200.666864
CIF-CAD-EQ-01,2024-12-30,10056,95386.403599
CIF-CAD-EQ-01,2024-12-30,10014,113692.926272
CIF-CAD-EQ-01,2024-12-31,10016,83495.023911
CIF-CAD-EQ-01,2024-12-31,10004,423075.702191
CIF-CAD-EQ-01,2024-12-31,10034,78111.252679
CIF-CAD-EQ-01,2024-12-31,10028,417450.68435
CIF-CAD-EQ-01,2024-12-31,10037,207960.658777
CIF-CAD-EQ-01,2024-12-31,10031,175494.133121
CIF-CAD-EQ-01,2024-12-31,10040,65722.139978
CIF-CAD-EQ-01,2024-12-31,10013,557996.23765
