INDEX_CODE,RETURN_DATE,TOTAL_RETURN_PCT
IDX-TSX,2024-12-24,-0.65065941
IDX-TSX,2024-12-25,-1.08640158
IDX-TSX,2024-12-26,0.85416808
IDX-TSX,2024-12-27,-0.35091312
IDX-TSX,2024-12-30,0.33493262
IDX-TSX,2024-12-31,-0.51818461
IDX-TSX,2025-01-01,-0.01970554
IDX-TSX,2025-01-02,1.70187986
IDX-TSX,2025-01-03,0.63626599
IDX-TSX,2025-01-06,0.75387869
IDX-TSX,2025-01-07,1.49849446
IDX-TSX,2025-01-08,0.33354109
IDX-TSX,2025-01-09,0.8249163
IDX-TSX,2025-01-10,-0.00935354
IDX-TSX,2025-01-13,-0.90484853
IDX-TSX,2025-01-14,-0.54337905
IDX-TSX,2025-01-15,-0.60820499
IDX-TSX,2025-01-16,0.0317542
IDX-TSX,2025-01-17,-1.00647395
IDX-TSX,2025-01-20,-0.88580934
IDX-TSX,2025-01-21,0.30561046
IDX-TSX,2025-01-22,0.23707237
IDX-TSX,2025-01-23,-0.37020159
IDX-TSX,2025-01-24,-0.38417898
IDX-TSX,2025-01-27,0.84593648
IDX-TSX,2025-01-28,0.92059413
IDX-TSX,2025-01-29,0.16649463
IDX-TSX,2025-01-30,-1.43798029
IDX-TSX,2025-01-31,0.34622213
IDX-TSX,2025-02-03,-1.13043825
IDX-TSX,2025-02-04,1.75613926
IDX-TSX,2025-02-05,-0.21645787
IDX-TSX,2025-02-06,-0.14594089
IDX-TSX,2025-02-07,-0.39044045
IDX-TSX,2025-02-10,-0.40666206
IDX-TSX,2025-02-11,-1.36409514
IDX-TSX,2025-02-12,-0.70672809
IDX-TSX,2025-02-13,-0.11551063
IDX-TSX,2025-02-14,1.19900621
IDX-TSX,2025-02-17,-0.68321463
IDX-TSX,2025-02-18,0.07552376
IDX-TSX,2025-02-19,-0.33558396
IDX-TSX,2025-02-20,-0.63616144
IDX-TSX,2025-02-21,-0.42258535
IDX-TSX,2025-02-24,-0.01158343
IDX-TSX,2025-02-25,0.66962496
IDX-TSX,2025-02-26,1.45071803
IDX-TSX,2025-02-27,-0.13905647
IDX-TSX,2025-02-28,-0.19422545
IDX-TSX,2025-03-03,0.47470322
IDX-TSX,2025-03-04,-0.11952848
IDX-TSX,2025-03-05,0.48130889
IDX-TSX,2025-03-06,-0.21150248
IDX-TSX,2025-03-07,-0.22848538
IDX-TSX,2025-03-10,0.42610661
IDX-TSX,2025-03-11,0.25198318
IDX-TSX,2025-03-12,-0.858039
IDX-TSX,2025-03-13,-1.09332283
IDX-TSX,2025-03-14,0.3847337
IDX-TSX,2025-03-17,-1.20725658
IDX-TSX,2025-03-18,0.44775961
IDX-TSX,2025-03-19,-0.2143252
IDX-TSX,2025-03-20,-0.6285313
IDX-TSX,2025-03-21,0.45423875
IDX-TSX,2025-03-24,0.27048627
IDX-TSX,2025-03-25,0.41938429
IDX-TSX,2025-03-26,-0.2768455
IDX-TSX,2025-03-27,-0.57570915
IDX-TSX,2025-03-28,-1.84726178
IDX-TSX,2025-03-31,0.64772809
IDX-TSX,2025-04-01,-1.96985757
IDX-TSX,2025-04-02,-0.22179477
IDX-TSX,2025-04-03,1.04625909
IDX-TSX,2025-04-04,-1.14005294
IDX-TSX,2025-04-07,-0.48242473
IDX-TSX,2025-04-08,-0.36992466
IDX-TSX,2025-04-09,-0.2667833
IDX-TSX,2025-04-10,-0.93939011
IDX-TSX,2025-04-11,-0.44409642
IDX-TSX,2025-04-14,0.52820604
IDX-TSX,2025-04-15,-0.0579382
IDX-TSX,2025-04-16,-0.69108406
IDX-TSX,2025-04-17,0.90461523
IDX-TSX,2025-04-18,-0.21961977
IDX-TSX,2025-04-21,0.54469377
IDX-TSX,2025-04-22,1.74123586
IDX-TSX,2025-04-23,0.59334455
IDX-TSX,2025-04-24,-1.987799
IDX-TSX,2025-04-25,1.21167496
IDX-TSX,2025-04-28,1.06528008
IDX-TSX,2025-04-29,-0.45617608
IDX-TSX,2025-04-30,0.59524534
IDX-TSX,2025-05-01,1.2555077
IDX-TSX,2025-05-02,-0.47901665
IDX-TSX,2025-05-05,-0.55325511
IDX-TSX,2025-05-06,-0.05339744
IDX-TSX,2025-05-07,0.67487644
IDX-TSX,2025-05-08,-1.06673841
IDX-TSX,2025-05-09,0.52509527
IDX-TSX,2025-05-12,-1.41237526
IDX-TSX,2025-05-13,-0.53546407
IDX-TSX,2025-05-14,0.52520507
IDX-TSX,2025-05-15,0.49089214
IDX-TSX,2025-05-16,0.61651503
IDX-TSX,2025-05-19,0.63444643
IDX-TSX,2025-05-20,0.19141042
IDX-TSX,2025-05-21,-2.04203499
IDX-TSX,2025-05-22,0.14818453
IDX-TSX,2025-05-23,0.61050679
IDX-TSX,2025-05-26,1.93201287
IDX-TSX,2025-05-27,-0.60674843
IDX-TSX,2025-05-28,-1.53806519
IDX-TSX,2025-05-29,0.33180742
IDX-TSX,2025-05-30,-1.5607683
IDX-TSX,2025-06-02,-1.25104981
IDX-TSX,2025-06-03,-0.64029425
IDX-TSX,2025-06-04,0.10185589
IDX-TSX,2025-06-05,0.04062416
IDX-TSX,2025-06-06,0.59184694
IDX-TSX,2025-06-09,1.78503089
IDX-TSX,2025-06-10,-0.26662539
IDX-TSX,2025-06-11,1.01741853
IDX-TSX,2025-06-12,2.35252266
IDX-TSX,2025-06-13,0.56837604
IDX-TSX,2025-06-16,0.23168763
IDX-TSX,2025-06-17,0.70112239
IDX-TSX,2025-06-18,-0.08367956
IDX-TSX,2025-06-19,-0.11860479
IDX-TSX,2025-06-20,1.02367616
IDX-TSX,2025-06-23,-0.38715667
IDX-TSX,2025-06-24,1.50233347
IDX-TSX,2025-06-25,-0.65079355
IDX-TSX,2025-06-26,-0.53584647
IDX-TSX,2025-06-27,0.98503344
IDX-TSX,2025-06-30,0.94035831
IDX-TSX,2025-07-01,0.32863503
IDX-TSX,2025-07-02,0.19896821
IDX-TSX,2025-07-03,0.51127963
