FUND_CODE,PERIOD_END_DATE,BEGINNING_NAV,ENDING_NAV,NET_FLOWS,GROSS_RETURN_PCT,NET_RETURN_PCT,BENCHMARK_RETURN_PCT,EXCESS_RETURN_PCT,EXPENSE_RATIO_PCT,YTD_NET_RETURN_PCT
CIF-CAD-EQ-01,2025-01-31,405678926.17,357964339.93,-40349552.07,-1.926758,-2.115686,2.388762,-4.399358,2.277579,-2.115686
CIF-CAD-EQ-01,2025-02-28,357964339.93,367069796.78,0.0,2.543677,2.379391,-1.792921,4.248484,2.281699,0.213365
CIF-CAD-EQ-01,2025-03-31,367069796.78,334609269.34,-35911419.29,0.980339,0.807839,-3.005057,3.931026,2.279387,1.022927
CIF-CAD-EQ-01,2025-04-30,334609269.34,304108594.75,-37377234.19,2.176673,1.995959,-1.111769,3.142666,2.274157,3.039303
CIF-CAD-EQ-01,2025-05-30,304108594.75,297760052.3,0.0,-2.087591,-2.268305,-1.997424,-0.276402,2.276002,0.702057
CIF-CAD-EQ-01,2025-06-30,297760052.3,322229034.58,24625726.03,-0.050284,-0.222784,8.126597,-7.721857,2.285191,0.477709
CIF-CAD-EQ-01,2025-07-31,322229034.58,322455604.28,0.0,0.070313,-0.118615,0.223776,-0.341627,2.280421,0.358527
CIF-CAD-EQ-01,2025-08-29,322455604.28,327781696.53,0.0,1.651729,1.479229,-0.641727,2.134655,2.283178,1.843059
CIF-CAD-EQ-01,2025-09-30,327781696.53,345902705.85,23846945.52,-1.662223,-1.842938,3.473963,-5.138395,2.281145,-0.033845
CIF-CAD-EQ-01,2025-10-31,345902705.85,352722033.91,0.0,1.971458,1.78253,-0.43603,2.228276,2.282239,1.748082
CIF-CAD-EQ-01,2025-11-28,352722033.91,348679145.15,0.0,-1.146197,-1.310483,-5.144803,4.042289,2.276016,0.414691
CIF-CAD-EQ-01,2025-12-31,348679145.15,351497504.61,0.0,0.808296,0.619367,4.410261,-3.630767,2.284385,1.036627
CIF-GLB-EQ-02,2025-01-31,267464962.09,270367628.07,0.0,1.085251,0.845211,-0.98564,1.849077,2.909756,0.845211
CIF-GLB-EQ-02,2025-02-28,270367628.07,275736220.6,0.0,1.985664,1.776934,-2.832271,4.743555,2.916079,2.637164
CIF-GLB-EQ-02,2025-03-31,275736220.6,303848442.98,28188193.88,-0.026008,-0.245175,2.681626,-2.850365,2.916774,2.385523
CIF-GLB-EQ-02,2025-04-30,303848442.98,302255478.67,0.0,-0.524263,-0.753866,4.236213,-4.78728,2.914765,1.613674
CIF-GLB-EQ-02,2025-05-30,302255478.67,297803172.92,0.0,-1.473027,-1.70263,3.421488,-4.954597,2.91121,-0.116432
CIF-GLB-EQ-02,2025-06-30,297803172.92,295230354.51,-12150033.56,3.301257,3.08209,-0.968285,4.089977,2.902006,2.96207
CIF-GLB-EQ-02,2025-07-31,295230354.51,277567617.16,-12191905.95,-1.885729,-2.125768,9.024085,-10.226963,2.913487,0.773335
CIF-GLB-EQ-02,2025-08-29,277567617.16,289982998.97,11663693.29,0.265428,0.046262,0.233992,-0.187292,2.910316,0.819954
CIF-GLB-EQ-02,2025-09-30,289982998.97,290645707.93,0.0,0.228534,-0.001069,-4.07507,4.247072,2.909554,0.818876
CIF-GLB-EQ-02,2025-10-31,290645707.93,324792755.77,27377988.9,2.220993,1.980953,4.596614,-2.500713,2.908707,2.81605
CIF-GLB-EQ-02,2025-11-28,324792755.77,322663129.71,0.0,-0.655688,-0.864418,-4.306048,3.596497,2.904901,1.92729
CIF-GLB-EQ-02,2025-12-31,322663129.71,327362629.08,0.0,1.456472,1.216433,-5.001771,6.5456,2.903561,3.167167
CIF-BAL-60-03,2025-01-31,727521476.37,720068028.1,0.0,-1.024499,-1.234419,0.95379,-2.167535,2.53381,-1.234419
CIF-BAL-60-03,2025-02-28,720068028.1,808822904.06,68694257.02,2.650476,2.467936,-1.393606,3.916117,2.534712,1.203052
CIF-BAL-60-03,2025-03-31,808822904.06,728413852.29,-86817439.8,1.48274,1.291074,-1.821411,3.170227,2.535515,2.509658
CIF-BAL-60-03,2025-04-30,728413852.29,743691339.64,0.0,2.097364,1.89657,-0.547742,2.457775,2.532477,4.453826
CIF-BAL-60-03,2025-05-30,743691339.64,743540986.68,0.0,-0.020217,-0.221011,-1.941689,1.75475,2.531172,4.222972
CIF-BAL-60-03,2025-06-30,743540986.68,726393093.58,0.0,-1.334968,-1.526635,5.759532,-6.889372,2.521588,2.631867
CIF-BAL-60-03,2025-07-31,726393093.58,794095081.76,76114896.37,-1.098752,-1.308673,-0.493795,-0.818922,2.530922,1.288752
CIF-BAL-60-03,2025-08-29,794095081.76,802127141.44,0.0,1.011473,0.819807,-1.286702,2.133967,2.533839,2.119124
CIF-BAL-60-03,2025-09-30,802127141.44,777199445.84,0.0,-2.36097,-2.561763,1.973805,-4.447778,2.539135,-0.496927
CIF-BAL-60-03,2025-10-31,777199445.84,754008350.15,-34263499.21,1.445207,1.235286,0.218403,1.014667,2.528315,0.732221
CIF-BAL-60-03,2025-11-28,754008350.15,690968625.51,-62485197.49,-0.076961,-0.2595,-2.952423,2.774848,2.532515,0.47082
CIF-BAL-60-03,2025-12-31,690968625.51,701638454.86,0.0,2.293659,2.083738,3.912888,-1.760272,2.532205,2.564369
CIF-FIX-IN-04,2025-01-31,514339782.94,527119971.38,25471141.97,-2.398459,-2.519848,-1.198669,-1.337208,1.518641,-2.519848
CIF-FIX-IN-04,2025-02-28,527119971.38,514724192.27,-26703968.91,2.769528,2.663973,-0.794634,3.48631,1.52057,0.076997
CIF-FIX-IN-04,2025-03-31,514724192.27,513101058.13,0.0,0.969729,0.858895,-0.04594,0.905251,1.524274,0.936553
CIF-FIX-IN-04,2025-04-30,513101058.13,467970094.04,-58522026.75,2.813029,2.696918,0.298297,2.391488,1.525007,3.65873
CIF-FIX-IN-04,2025-05-30,467970094.04,461417035.19,0.0,-1.400316,-1.516427,-1.858086,0.348128,1.525068,2.086821
CIF-FIX-IN-04,2025-06-30,461417035.19,450636066.86,0.0,-1.607763,-1.718597,2.208934,-3.842649,1.515762,0.33236
CIF-FIX-IN-04,2025-07-31,450636066.86,446670580.57,0.0,-0.879975,-1.001364,-1.570152,0.577861,1.525037,-0.672332
CIF-FIX-IN-04,2025-08-29,446670580.57,453424294.11,0.0,1.512012,1.401179,-2.254165,3.739641,1.52377,0.719426
CIF-FIX-IN-04,2025-09-30,453424294.11,438309799.6,0.0,-2.635372,-2.751483,-0.276432,-2.481912,1.517653,-2.051852
CIF-FIX-IN-04,2025-10-31,438309799.6,445768873.34,0.0,1.701781,1.580392,1.200052,0.375831,1.525565,-0.503887
CIF-FIX-IN-04,2025-11-28,445768873.34,485082775.08,38917047.99,0.087125,-0.01843,0.336148,-0.353391,1.524389,-0.522224
CIF-FIX-IN-04,2025-12-31,485082775.08,442604868.58,-38931378.41,0.206224,0.084835,3.166829,-2.987388,1.526645,-0.437832
CIF-USD-EQ-05,2025-01-31,344984556.4,349525292.88,0.0,1.316214,1.096254,-3.65221,4.928462,2.583877,1.096254
CIF-USD-EQ-05,2025-02-28,349525292.88,355508669.13,0.0,1.711858,1.520588,0.981001,0.534345,2.583318,2.633512
CIF-USD-EQ-05,2025-03-31,355508669.13,356680445.72,0.0,0.329606,0.128772,-3.021395,3.248312,2.583788,2.765675
CIF-USD-EQ-05,2025-04-30,356680445.72,333184605.55,-21457393.28,-0.582009,-0.792406,-0.305252,-0.488646,2.587867,1.951354
CIF-USD-EQ-05,2025-05-30,333184605.55,344914392.43,13996822.1,-0.666416,-0.876813,-8.446919,8.268543,2.587192,1.057431
CIF-USD-EQ-05,2025-06-30,344914392.43,323161120.21,-37221263.37,4.795063,4.594229,-3.570834,8.467421,2.587847,5.700241
CIF-USD-EQ-05,2025-07-31,323161120.21,321717824.12,0.0,-0.446618,-0.666578,-8.876176,9.009277,2.586614,4.995666
CIF-USD-EQ-05,2025-08-29,321717824.12,314467888.32,0.0,-2.253508,-2.454341,6.677385,-8.560133,2.582914,2.418714
CIF-USD-EQ-05,2025-09-30,314467888.32,351224649.25,26131442.79,3.261386,3.050989,-6.430297,10.132859,2.588633,5.543498
CIF-USD-EQ-05,2025-10-31,351224649.25,354457477.41,0.0,0.920445,0.700484,-5.194608,6.218098,2.589227,6.282814
CIF-USD-EQ-05,2025-11-28,354457477.41,362856932.87,0.0,2.369665,2.178395,5.524506,-3.170932,2.580333,8.598074
CIF-USD-EQ-05,2025-12-31,362856932.87,396958768.09,24588986.29,2.533058,2.313098,1.556837,0.744668,2.585737,11.110053
CIF-ALT-LS-06,2025-01-31,96146123.66,96137411.86,0.0,-0.009061,-0.200728,2.388762,-2.529076,2.258712,-0.200728
CIF-ALT-LS-06,2025-02-28,96137411.86,89670979.64,-6419814.46,-0.049314,-0.215981,-1.792921,1.605729,2.260223,-0.416275
CIF-ALT-LS-06,2025-03-31,89670979.64,91361609.02,0.0,1.88537,1.71037,-3.005057,4.861518,2.254113,1.286975
CIF-ALT-LS-06,2025-04-30,91361609.02,95366360.42,3369390.33,0.682021,0.498687,-1.111769,1.628562,2.252589,1.79208
CIF-ALT-LS-06,2025-05-30,95366360.42,93734662.8,0.0,-1.710978,-1.894312,-1.997424,0.105214,2.260015,-0.136179
CIF-ALT-LS-06,2025-06-30,93734662.8,93606616.37,0.0,-0.136605,-0.311605,8.126597,-7.804003,2.256675,-0.44736
CIF-ALT-LS-06,2025-07-31,93606616.37,83278179.9,-9402388.02,-1.046968,-1.238635,0.223776,-1.459146,2.257837,-1.680454
CIF-ALT-LS-06,2025-08-29,83278179.9,84625338.5,0.0,1.617661,1.442661,-0.641727,2.097851,2.255254,-0.262036
CIF-ALT-LS-06,2025-09-30,84625338.5,90089337.69,6980311.91,-1.6984,-1.881734,3.473963,-5.175889,2.254178,-2.138839
CIF-ALT-LS-06,2025-10-31,90089337.69,92262026.33,0.0,2.411705,2.220038,-0.43603,2.6677,2.257302,0.033716
CIF-ALT-LS-06,2025-11-28,92262026.33,92185759.72,0.0,-0.082663,-0.24933,-5.144803,5.160997,2.253492,-0.215698
CIF-ALT-LS-06,2025-12-31,92185759.72,101199009.91,7737531.54,1.302731,0.977118,4.410261,-3.288127,2.257202,0.759313
